state_key,state,no,constituency_name,reserved,y2021_winner_name,y2016_winner_name,y2026_winner_name,status,updated_at,y2021_winner_party,y2016_winner_party,y2026_winner_party
KERALA,Kerala,90,Thodupuzha,GEN,P. J. Joseph,P. J. Joseph,,,2026-04-06T06:49:21Z,UDF,Kerala Congress (Mani),
KERALA,Kerala,91,Idukki,GEN,Roshy Augustine,Roshy Augustine,,,2026-04-06T06:49:21Z,KC(M),Kerala Congress (Mani),
KERALA,Kerala,92,Peerumade,GEN,Vazhoor Soman,E. S. Bijimol,,,2026-04-06T06:49:21Z,CPI,CPI,
KERALA,Kerala,93,Pala,GEN,Mani C. Kappan,K. M. Mani,,,2026-04-06T06:49:21Z,NCK,Kerala Congress (Mani),
KERALA,Kerala,94,Kaduthuruthy,GEN,Monce Joseph,Mons Joseph,,,2026-04-06T06:49:21Z,UDF,Kerala Congress (Mani),
KERALA,Kerala,95,Vaikom,SC,C. K. Asha,C. K. Asha,,,2026-04-06T06:49:21Z,CPI,CPI,
KERALA,Kerala,96,Ettumanoor,GEN,V. N. Vasavan,K. Suresh Kurup,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,97,Kottayam,GEN,Thiruvanchoor Radhakrishnan,Thiruvanchoor Radhakrishnan,,,2026-04-06T06:49:21Z,INC,INC,
KERALA,Kerala,98,Puthuppally,GEN,Oommen Chandy,Oommen Chandy,,,2026-04-06T06:49:21Z,INC,INC,
KERALA,Kerala,99,Changanassery,GEN,Job Michael,C. F. Thomas,,,2026-04-06T06:49:21Z,KC(M),Kerala Congress (Mani),
KERALA,Kerala,100,Kanjirappally,GEN,N. Jayaraj,N. Jayaraj,,,2026-04-06T06:49:21Z,KC(M),Kerala Congress (Mani),
KERALA,Kerala,101,Poonjar,GEN,Sebastian Kulathunkal,P. C. George,,,2026-04-06T06:49:21Z,KC(M),IND,
KERALA,Kerala,102,Aroor,GEN,Daleema Jojo,A. M. Ariff,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,103,Cherthala,GEN,P. Prasad,P. Thilothaman,,,2026-04-06T06:49:21Z,CPI,CPI,
KERALA,Kerala,104,Alappuzha,GEN,P. P. Chitharanjan,T. M. Thomas Issac,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,105,Ambalappuzha,GEN,H. Salam,G. Sudhakaran,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,106,Kuttanad,GEN,Thomas K. Thomas,Thomas Chandy,,,2026-04-06T06:49:21Z,NCP,NCP,
KERALA,Kerala,107,Haripad,GEN,Ramesh Chennithala,Ramesh Chennithala,,,2026-04-06T06:49:21Z,INC,INC,
KERALA,Kerala,108,Kayamkulam,GEN,U. Prathibha,U. Prathibha Hari,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,109,Mavelikara,SC,M. S. Arun Kumar,R. Rajesh,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,110,Chengannur,GEN,Saji Cherian,K. K. Ramachandran Nair,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,111,Thiruvalla,GEN,Mathew T. Thomas,Mathew T. Thomas,,,2026-04-06T06:49:21Z,JD(S),JD(S),
KERALA,Kerala,112,Ranni,GEN,Pramod Narayan,Raju Abrham,,,2026-04-06T06:49:21Z,KC(M),CPI(M),
KERALA,Kerala,113,Aranmula,GEN,Veena George,Veena George,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,114,Konni,GEN,K. U. Jenish Kumar,Adoor Prakash,,,2026-04-06T06:49:21Z,CPI(M),INC,
KERALA,Kerala,115,Adoor,SC,Chittayam Gopakumar,Chittayam Gopakumar,,,2026-04-06T06:49:21Z,CPI,CPI,
KERALA,Kerala,116,Karunagapally,GEN,C. R. Mahesh,R. Ramachandran,,,2026-04-06T06:49:21Z,INC,CPI,
KERALA,Kerala,117,Chavara,GEN,Sujith Vijayanpillai,N. Vijayan Pillai,,,2026-04-06T06:49:21Z,IND,CMP(A),
KERALA,Kerala,118,Kunnathur,SC,Kovoor Kunjumon,Kovoor Kunjumon,,,2026-04-06T06:49:21Z,IND,IND,
KERALA,Kerala,119,Kottarakkara,GEN,K. N. Balagopal,P. Aisha Potty,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,120,Pathanapuram,GEN,K. B. Ganesh Kumar,K. B. Ganesh Kumar,,,2026-04-06T06:49:21Z,KC(B),Kerala Congress (B),
KERALA,Kerala,121,Punalur,GEN,P. S. Supal,K. Raju,,,2026-04-06T06:49:21Z,CPI,CPI,
KERALA,Kerala,122,Chadayamangalam,GEN,J. Chinchu Rani,Mullakkara Ratnakaran,,,2026-04-06T06:49:21Z,CPI,CPI,
KERALA,Kerala,123,Kundara,GEN,P. C. Vishnunath,J. Mercy Kutty Amma,,,2026-04-06T06:49:21Z,INC,CPI(M),
KERALA,Kerala,124,Kollam,GEN,Mukesh,M. Mukesh,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,125,Eravipuram,GEN,M. Noushad,M. Noushad,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,126,Chathannoor,GEN,G. S. Jayalal,G. S. Jayalal,,,2026-04-06T06:49:21Z,CPI,CPI,
KERALA,Kerala,127,Varkala,GEN,V. Joy,V. Joy,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,128,Attingal,SC,O. S. Ambika,B. Satyan,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,129,Chirayinkeezhu,SC,V. Sasi,V. Sasi,,,2026-04-06T06:49:21Z,CPI,CPI,
KERALA,Kerala,130,Nedumangad,GEN,G. R. Anil,C. Divakaran,,,2026-04-06T06:49:21Z,CPI,CPI,
KERALA,Kerala,131,Vamanapuram,GEN,D. K. Murali,D. K. Murali,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,132,Kazhakkoottam,GEN,Kadakampally Surendran,Kadakampally Surendran,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,133,Vattiyoorkavu,GEN,V. K. Prasanth,K. Muraleedharan,,,2026-04-06T06:49:21Z,CPI(M),INC,
KERALA,Kerala,134,Thiruvananthapuram,GEN,Antony Raju,V. S. Sivakumar,,,2026-04-06T06:49:21Z,JKC,INC,
KERALA,Kerala,135,Nemom,GEN,V. Sivankutty,O. Rajagopal,,,2026-04-06T06:49:21Z,CPI(M),BJP,
KERALA,Kerala,136,Aruvikkara,GEN,G. Stephen,K. S. Sabarinathan,,,2026-04-06T06:49:21Z,CPI(M),INC,
KERALA,Kerala,137,Parassala,GEN,C. K. Hareendran,C. K. Hareendrakumar,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,138,Kattakkada,GEN,I. B. Sathish,I. B. Satheesh,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
KERALA,Kerala,139,Kovalam,GEN,M. Vincent,M. Vincent,,,2026-04-06T06:49:21Z,INC,INC,
KERALA,Kerala,140,Neyyattinkara,GEN,K. Ansalan,K. Ansalan,,,2026-04-06T06:49:21Z,CPI(M),CPI(M),
PUDUCHERRY,Puducherry,1,Mannadipet,GEN,A. Namassivayam,T. P. R. Selvame,,,2026-04-06T06:49:21Z,BJP,A. Krishnan,
PUDUCHERRY,Puducherry,2,Thirubuvanai (SC),SC,P. Angalane,B. Kobiga,,,2026-04-06T06:49:21Z,IND,P. Angalane,
PUDUCHERRY,Puducherry,3,Ossudu (SC),SC,A. K. Saravanankumar,E. Theeppainthan,,,2026-04-06T06:49:21Z,BJP,INC,
PUDUCHERRY,Puducherry,4,Mangalam,GEN,C. Djeacoumar,S. V. Sugumaran,,,2026-04-06T06:49:21Z,AINRC,S. Kumaravel,
PUDUCHERRY,Puducherry,5,Villianur,GEN,R. Siva,A. Namassivayam,,,2026-04-06T06:49:21Z,DMK,INC,
PUDUCHERRY,Puducherry,6,Ozhukarai,GEN,M. Sivasankar,M. N. R. Balan,,,2026-04-06T06:49:21Z,IND,INC,
PUDUCHERRY,Puducherry,7,Kadirkamam,GEN,S. Ramesh,N. S. J. Jayabal Ayyanar,,,2026-04-06T06:49:21Z,AINRC,S. Ramesh,
PUDUCHERRY,Puducherry,8,Indira Nagar,GEN,A. K. D. Arumugam,N. Rangaswamy,,,2026-04-06T06:49:21Z,AINRC,A. K. D. Arumugam,
PUDUCHERRY,Puducherry,9,Thattanchavady,GEN,N. Rangasamy,Ashok Anand,,,2026-04-06T06:49:21Z,AINRC,K. Sethu Sethuselvam,
PUDUCHERRY,Puducherry,10,Kamaraj Nagar,GEN,A. Johnkumar,V. Vaithilingam,,,2026-04-06T06:49:21Z,BJP,INC,
PUDUCHERRY,Puducherry,11,Lawspet,GEN,M. Vaithianathan,V. P. Sivakolundhu,,,2026-04-06T06:49:21Z,INC,INC,
PUDUCHERRY,Puducherry,12,Kalapet,GEN,P. M. L. Kalyanasundaram,M. O. H. F. Shahjahan,,,2026-04-06T06:49:21Z,BJP,INC,
PUDUCHERRY,Puducherry,13,Muthialpet,GEN,J. Prakash Kumar,Vaiyapuri Manikandan,,,2026-04-06T06:49:21Z,IND,J. Prakash Kumar,
PUDUCHERRY,Puducherry,14,Raj Bhavan,GEN,K. Lakshminarayanan,K. Lakshminarayanan,,,2026-04-06T06:49:21Z,AINRC,INC,
PUDUCHERRY,Puducherry,15,Oupalam,GEN,Annibal Kennedy,A. Anbalagan,,,2026-04-06T06:49:21Z,DMK,Annibal Kennedy,
PUDUCHERRY,Puducherry,16,Orleampeth,GEN,G. Nehru Kuppusamy,R. Siva,,,2026-04-06T06:49:21Z,IND,G. Nehru Kuppusamy,
PUDUCHERRY,Puducherry,17,Nellithope,GEN,V. R. Johnkumar,A. Johnkumar,,,2026-04-06T06:49:21Z,BJP,INC,
PUDUCHERRY,Puducherry,18,Mudaliarpet,GEN,L. Sambath,A. Baskar,,,2026-04-06T06:49:21Z,DMK,V. Balan,
PUDUCHERRY,Puducherry,19,Ariankuppam,GEN,R. Baskar Datchanamourtty,T. Djeamourthy,,,2026-04-06T06:49:21Z,AINRC,INC,
PUDUCHERRY,Puducherry,20,Manavely,GEN,Embalam R. Selvam,R.K.R. Anantharaman,,,2026-04-06T06:49:21Z,BJP,INC,
PUDUCHERRY,Puducherry,21,Embalam (SC),SC,U. Lakshmikandhan,M. Candassamy,,,2026-04-06T06:49:21Z,AINRC,INC,
PUDUCHERRY,Puducherry,22,Nettapakkam (SC),SC,P. Rajavelu,V. Vizeaveny,,,2026-04-06T06:49:21Z,AINRC,INC,
PUDUCHERRY,Puducherry,23,Bahour,GEN,R. Senthilkumar,N. Danavelou,,,2026-04-06T06:49:21Z,DMK,INC,
PUDUCHERRY,Puducherry,24,Nedungadu (SC),SC,S. Chandra Priyanga,Chandira Priyanga,,,2026-04-06T06:49:21Z,AINRC,A. Marimottou,
PUDUCHERRY,Puducherry,25,Thirunallar,GEN,P. R. Siva,R. Kamalakannan,,,2026-04-06T06:49:21Z,IND,INC,
PUDUCHERRY,Puducherry,26,Karaikal North,GEN,P. R. N. Thirumurugan,P. R. N. Thirumurugan,,,2026-04-06T06:49:21Z,AINRC,M. V. Omalingam,
