"state_key","state","no","y2026_winner_name","status","updated_at","y2026_winner_party"
"PUDUCHERRY","Puducherry","7","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","8","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","9","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","10","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","11","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","12","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","13","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","14","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","15","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","16","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","17","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","18","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","19","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","20","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","21","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","22","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","23","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","24","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","25","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","26","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","27","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","28","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","29","NA","","2026-04-06T06:49:21Z","NA"
"PUDUCHERRY","Puducherry","30","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","1","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","2","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","3","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","4","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","5","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","6","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","7","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","8","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","9","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","10","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","11","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","12","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","13","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","14","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","15","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","16","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","17","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","18","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","19","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","20","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","21","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","22","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","23","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","24","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","25","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","26","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","27","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","28","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","29","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","30","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","31","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","32","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","33","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","34","NA","","2026-04-06T06:49:21Z","NA"
"TAMIL_NADU","Tamil Nadu","35","NA","","2026-04-06T06:49:21Z","NA"
