state_key,state,no,constituency_name,reserved,y2021_winner_name,y2016_winner_name,y2021_winner_party,y2016_winner_party
TAMIL_NADU,Tamil Nadu,118,Coimbatore (North),GEN,Amman K. Arjunan,Arun Kumar. P.R.G.,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,119,Thondamuthur,GEN,S. P. Velumani,Velumani.S.P.,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,120,Coimbatore (South),GEN,Vanathi Srinivasan,Amman K. Arjunan,BJP,AIADMK
TAMIL_NADU,Tamil Nadu,121,Singanallur,GEN,K. R. Jayaram,Karthik. N.,AIADMK,DMK
TAMIL_NADU,Tamil Nadu,122,Kinathukadavu,GEN,S. Damodaran,Shanmugam. A.,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,123,Pollachi,GEN,Pollachi V. Jayaraman,Pollachi V Jayaraman,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,124,Valparai (SC),SC,T. K. Amulkandasami,Kasthuri Vasu. V.,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,125,Udumalaipettai,GEN,Udumalai K. Radhakrishnan,Radhakrishnan. K,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,126,Madathukulam,GEN,C. Mahendran,Jayaramakrishnan R,AIADMK,DMK
TAMIL_NADU,Tamil Nadu,127,Palani,GEN,I. P. Senthil Kumar,Senthilkumar I P,DMK,DMK
TAMIL_NADU,Tamil Nadu,128,Oddanchatram,GEN,R. Sakkarapani,Sakkarapani R,DMK,DMK
TAMIL_NADU,Tamil Nadu,129,Athoor,GEN,I. Periyasamy,Periyasamy I,DMK,DMK
TAMIL_NADU,Tamil Nadu,130,Nilakottai,SC,S. Thenmozhi,Thangathurai R,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,131,Natham,GEN,Natham R. Viswanathan,Andi Ambalam M.A,AIADMK,DMK
TAMIL_NADU,Tamil Nadu,132,Dindigul,GEN,Dindigul C. Sreenivaasan,Sreenivasan C,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,133,Vedasandur,GEN,S. Gandhirajan,V. P. B. Paramasivam,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,134,Aravakurichi,GEN,R. Elango,V. Senthil Balaji,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,135,Karur,GEN,V. Senthilbalaji,Vijayabhaskar .M.R,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,136,Krishnarayapuram (SC),SC,K. Sivagama Sundari,Geetha . M.,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,137,Kulithalai,GEN,R. Manickam,Ramar .E,DMK,DMK
TAMIL_NADU,Tamil Nadu,138,Manapaarai,GEN,P. Abdul Samad,Chandrasekar R,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,139,Srirangam,GEN,M. Palaniyandi,Valarmathi.S,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,140,Tiruchirappalli (West),GEN,K. N. Nehru,Nehru.K.N,DMK,DMK
TAMIL_NADU,Tamil Nadu,141,Tiruchirappalli (East),GEN,Inigo S. Irudayaraj,Natarajan .N.,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,142,Thiruverumbur,GEN,Anbil Mahesh,Anbil Mahesh Poyyamozhi,DMK,DMK
TAMIL_NADU,Tamil Nadu,143,Lalgudi,GEN,A. Soundara Pandian,Soundarapandian A,DMK,DMK
TAMIL_NADU,Tamil Nadu,144,Manachanallur,GEN,S. Kathiravan,Parameswari. M,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,145,Musiri,GEN,N. Thiyagarajan,Selvarasu M,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,146,Thuraiyur (SC),SC,S. Stalinkumar,Stalinkumar .S,DMK,DMK
TAMIL_NADU,Tamil Nadu,147,Perambalur (SC),SC,M. Prabhakaran,R.Thamizhselvan,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,148,Kunnam,GEN,S. S. Sivasankar,Ramachandran.R.T,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,149,Ariyalur,GEN,K. Chinnappa,Rajendran. S,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,150,Jayankondam,GEN,Ka. So. Ka. Kannan,Ramajeyalingam.J.K.N,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,151,Tittakudi (SC),SC,C. V. Ganesan,Ganesan V,DMK,DMK
TAMIL_NADU,Tamil Nadu,152,Virudhachalam,GEN,R. Radhakrishnan,Kalaiselvan V T,INC,AIADMK
TAMIL_NADU,Tamil Nadu,153,Neyveli,GEN,Saba Rajendran,Saba. Rajendran,DMK,DMK
TAMIL_NADU,Tamil Nadu,154,Panruti,GEN,T. Velmurugan,Sathya.P,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,155,Cuddalore,GEN,G. Iyappan,Sampath M C,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,156,Kurinjipadi,GEN,M. R. K. Panneerselvam,Panneerselvam Mrk,DMK,DMK
TAMIL_NADU,Tamil Nadu,157,Bhuvanagiri,GEN,A. Arunmozhithevan,Saravanan. Durai K.,AIADMK,DMK
TAMIL_NADU,Tamil Nadu,158,Chidambaram,GEN,K. A. Pandian,Pandian K A,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,159,Kattumannarkoil (SC),SC,Sinthanai Selvan,Murugumaran.N,VCK,AIADMK
TAMIL_NADU,Tamil Nadu,160,Sirkazhi (SC),SC,M. Panneerselvam,Bharathi.P.V,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,161,Mayiladuturai,GEN,S. Rajakumar,Rathakrishnan.V,INC,AIADMK
TAMIL_NADU,Tamil Nadu,162,Poompuhar,GEN,Nivedha M. Murugan,Pavunraj.S,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,163,Nagapattinam,GEN,Aloor Shanavas,Thamimun Ansari.M,VCK,AIADMK
TAMIL_NADU,Tamil Nadu,164,Kilvelur (SC),SC,Nagai Maali (A) P. Mahalingam,Mathivanan.U,CPI(M),DMK
TAMIL_NADU,Tamil Nadu,165,Vedaranyam,GEN,O. S. Manian,Manian.O.S,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,166,Thiruthuraipoondi (SC),SC,K. Marimuthu,Adalarasan. P,CPI,DMK
TAMIL_NADU,Tamil Nadu,167,Mannargudi,GEN,Dr. T. R. B. Rajaa,T. R. B. Rajaa,DMK,DMK
TAMIL_NADU,Tamil Nadu,168,Thiruvarur,GEN,K. Poondi Kalaivanan,Kalaignar M Karunanidhi,DMK,DMK
TAMIL_NADU,Tamil Nadu,169,Nannilam,GEN,R. Kamaraj,Kamaraj. R,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,170,Thiruvidaimarudur,SC,Govi. Chezhiyan,Chezhiaan.Govi,DMK,DMK
TAMIL_NADU,Tamil Nadu,171,Kumbakonam,GEN,G. Anbalagan,G. Anbalagan,DMK,DMK
TAMIL_NADU,Tamil Nadu,172,Papanasam,GEN,Dr. M. H. Jawahirullah,Doraikkannu R,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,173,Thiruvaiyaru,GEN,Durai Chandrasekaran,Durai.Chandrasekaran,DMK,DMK
TAMIL_NADU,Tamil Nadu,174,Thanjavur,GEN,T. K. G. Neelamegam,M.Rengasamy,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,175,Orathanadu,GEN,R. Vaithilingam,Ramchandran. M,AIADMK,DMK
TAMIL_NADU,Tamil Nadu,176,Pattukkottai,GEN,K. Annadurai,Sekar. V,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,177,Peravurani,GEN,Peravurani N. Ashokkumar,Govindarasu M,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,178,Gandarvakottai,SC,M. Chinnadurai,Arumugam.B,CPI(M),AIADMK
TAMIL_NADU,Tamil Nadu,179,Viralimalai,GEN,C. Vijayabaskar,Vijaya Baskar C,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,180,Pudukkottai,GEN,Dr. V. Muthuraja,Periyannan Arassu,DMK,DMK
TAMIL_NADU,Tamil Nadu,181,Thirumayam,GEN,S. Regupathy,Regupathy S,DMK,DMK
TAMIL_NADU,Tamil Nadu,182,Alangudi,GEN,Meyyanathan Siva V,Meyyanathan .Siva .V,DMK,DMK
TAMIL_NADU,Tamil Nadu,183,Aranthangi,GEN,T. Ramachandran,Rathinasabhapathy E,INC,AIADMK
TAMIL_NADU,Tamil Nadu,184,Karaikudi,GEN,S. Mangudi,Ramasamy Kr,INC,INC
TAMIL_NADU,Tamil Nadu,185,Tiruppattur,GEN,K. R. Periyakaruppan,Periakaruppan Kr,DMK,DMK
TAMIL_NADU,Tamil Nadu,186,Sivaganga,GEN,P. R. Senthilnathan,Baskaran.G,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,187,Manamadurai (SC),SC,A. Tamilarasi,Mariappankennady S,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,188,Melur,GEN,P. Selvam,Periyapullan @ Selvam P,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,189,Madurai East,GEN,P. Moorthy,P. Moorthy,DMK,DMK
TAMIL_NADU,Tamil Nadu,190,Sholavandan (SC),SC,A. Venkatesan,K. Manickam,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,191,Madurai North,GEN,G. Thalapathi,V. V. Rajan Chellappa,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,192,Madurai South,GEN,M. Boominathan,Saravanan .S.S.,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,193,Madurai Central,GEN,Palanivel Thiagarajan,Palanivel Thiagarajan,DMK,DMK
TAMIL_NADU,Tamil Nadu,194,Madurai West,GEN,Sellur K. Raju,Sellur K. Raju,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,195,Thiruparankundram,GEN,V. V. Rajan Chellappa,S. M. Seenivel,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,196,Thirumangalam,GEN,R. B. Udhaya Kumar,Udhayakumar.R.B,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,197,Usilampatti,GEN,P. Ayyappan,Neethipathi P,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,198,Andipatti,GEN,A. Maharajan,Thanga Tamil Selvam,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,199,Periyakulam,SC,K. S. Saravana Kumar,K. Kathirkamu,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,200,Bodinayakanur,GEN,O. Panneerselvam,O. Panneerselvam,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,201,Cumbum,GEN,N. Eramakrishnan,S.T.K.Jakkaiyan,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,202,Rajapalayam,GEN,S. Thangappandian,S. Thangappandian,DMK,DMK
TAMIL_NADU,Tamil Nadu,203,Srivilliputhur (SC),SC,E. M. Manraj,M. Chandra Prabha,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,204,Sattur,GEN,A. R. R. Raghuraman,S. G. Subramanian,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,205,Sivakasi,GEN,A. M. S. G. Ashokan,K. T. Rajenthrabhalaji,INC,AIADMK
TAMIL_NADU,Tamil Nadu,206,Virudhunagar,GEN,A. R. R. Seenivasan,A. R. R. Seenivasan,DMK,DMK
TAMIL_NADU,Tamil Nadu,207,Aruppukkottai,GEN,Sattur Ramachandran,Ramachandran K.K.S.S.R,DMK,DMK
TAMIL_NADU,Tamil Nadu,208,Tiruchuli,GEN,Thangam Thennarasu,Thangam Thenarasu,DMK,DMK
TAMIL_NADU,Tamil Nadu,209,Paramakudi (SC),SC,S. Murugesan,Dr. S. Muthiah,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,210,Tiruvadanai,GEN,R. M. Karumanikam,Karunaas,INC,AIADMK
TAMIL_NADU,Tamil Nadu,211,Ramanathapuram,GEN,K. Muthuramalingam,Dr. M. Manikandan,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,212,Mudhukulathur,GEN,R. S. Raja Kannappan,S. Pandi,DMK,INC
TAMIL_NADU,Tamil Nadu,213,Vilathikulam,GEN,G. V. Markandayan,Uma Maheswari,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,214,Thoothukkudi,GEN,P. Geetha Jeevan,Geetha Jeevan. P,DMK,DMK
TAMIL_NADU,Tamil Nadu,215,Tiruchendur,GEN,Anitha R. Radhakrishnan,Anitha R Radhakrishnan,DMK,DMK
TAMIL_NADU,Tamil Nadu,216,Srivaikuntam,GEN,Oorvasi S. Amirtharaj,S. P. Shanmuganathan,INC,AIADMK
TAMIL_NADU,Tamil Nadu,217,Ottapidaram (SC),SC,M. C. Shunmugaiah,R. Sundararaj,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,218,Kovilpatti,GEN,Kadambur C. Raju,Kadambur Raju,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,219,Sankarankovil (SC),SC,E. Raja,V. M. Rajalakshmi,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,220,Vasudevanallur (SC),SC,Dr. T. Sadhan Tirumalaikumar,Manoharan A.,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,221,Kadayanallur,GEN,C. Krishnamurali,K. A. M. Muhammed Abubacker,AIADMK,IUML
TAMIL_NADU,Tamil Nadu,222,Tenkasi,GEN,S. Palani Nadar,S. Selvamohandas Pandian,INC,AIADMK
TAMIL_NADU,Tamil Nadu,223,Alangulam,GEN,P. H. Manoj Pandian,Dr. Poongothai Aladi Aruna,AIADMK,DMK
TAMIL_NADU,Tamil Nadu,224,Tirunelveli,GEN,Nainar Nagendran,A. L. S. Lakshmanan,BJP,DMK
TAMIL_NADU,Tamil Nadu,225,Ambasamudram,GEN,E. Subaya,R. Murugaiah Pandian,AIADMK,AIADMK
TAMIL_NADU,Tamil Nadu,226,Palayamkottai,GEN,M. Abdul Wahab,T. P. M. Mohideen Khan,DMK,DMK
TAMIL_NADU,Tamil Nadu,227,Nanguneri,GEN,Ruby R. Manoharan,H. Vasanthakumar,INC,INC
TAMIL_NADU,Tamil Nadu,228,Radhapuram,GEN,M. Appavu,I. S. Inbadurai,DMK,AIADMK
TAMIL_NADU,Tamil Nadu,229,Kanniyakumari,GEN,N. Thalavai Sundaram,S. Austin,AIADMK,DMK
TAMIL_NADU,Tamil Nadu,230,Nagercoil,GEN,|M. R. Gandhi,N. Suresh Rajan,BJP,DMK
TAMIL_NADU,Tamil Nadu,231,Colachal,GEN,J. G. Prince,J. G. Prince,INC,INC
TAMIL_NADU,Tamil Nadu,232,Padmanabhapuram,GEN,Mano Thangaraj,Mano Thangaraj,DMK,DMK
TAMIL_NADU,Tamil Nadu,233,Vilavancode,GEN,S. Vijayadharani,S. Vijayadharani,INC,INC
TAMIL_NADU,Tamil Nadu,234,Killiyoor,GEN,S. Rajeshkumar,S. Rajesh Kumar,INC,INC
WEST_BENGAL,West Bengal,1,Mekliganj (SC),SC,Paresh Chandra Adhikary,Arghya Roy Pradhan,TMC,TMC
WEST_BENGAL,West Bengal,2,Mathabhanga (SC),SC,Sushil Barman,Binay Krishna Barman,BJP,TMC
WEST_BENGAL,West Bengal,3,Cooch Behar Uttar,SC,Sukumar Roy,Nagendra Nath Roy,BJP,AIFB
WEST_BENGAL,West Bengal,4,Cooch Behar Dakshin,GEN,Nikhil Ranjan Dey,Mihir Goswami,BJP,TMC
WEST_BENGAL,West Bengal,5,Sitalkuchi (SC),SC,Baren Chandra Barman,Hiten Barman,BJP,TMC
WEST_BENGAL,West Bengal,6,Sitai (SC),SC,Jagadish Barma Basunia,Jagadish Barma Basunia,TMC,TMC
WEST_BENGAL,West Bengal,7,Dinhata,GEN,Nisith Pramanik,Udayan Guha,BJP,TMC
WEST_BENGAL,West Bengal,8,Natabari,GEN,Mihir Goswami,Rabindra Nath Ghosh,BJP,TMC
WEST_BENGAL,West Bengal,9,Tufanganj,GEN,Malati Rava Roy,Fazal Karim Miah,BJP,TMC
WEST_BENGAL,West Bengal,10,Kumargram (ST),ST,Manoj Kumar Oraon,James Kujur,BJP,TMC
WEST_BENGAL,West Bengal,11,Kalchini (ST),ST,Bishal Lama,Wilson Champramary,BJP,TMC
WEST_BENGAL,West Bengal,12,Alipurduars,GEN,Suman Kanjilal,Sourav Chakraborty,BJP,TMC
WEST_BENGAL,West Bengal,13,Falakata (SC),SC,Dipak Barman,Anil Adhikari,BJP,TMC
WEST_BENGAL,West Bengal,14,Madarihat (ST),ST,Manoj Tigga,Manoj Tigga,BJP,BJP
WEST_BENGAL,West Bengal,15,Dhupguri (SC),SC,Bishnu Pada Ray,Mitali Roy,BJP,TMC
WEST_BENGAL,West Bengal,16,Maynaguri (SC),SC,Kaushik Roy,Ananta Deb Adhikari,BJP,TMC
WEST_BENGAL,West Bengal,17,Jalpaiguri (SC),SC,Pradip Kumar Barma,Sukhbilas Barma,TMC,INC
WEST_BENGAL,West Bengal,18,Rajganj (SC),SC,Khageswar Roy,Khageswar Roy,TMC,TMC
WEST_BENGAL,West Bengal,19,Dabgram-Phulbari,GEN,Shikha Chatterjee,Goutam Deb,BJP,TMC
WEST_BENGAL,West Bengal,20,Mal (ST),ST,Bulu Chik Baraik,Bulu Chik Baraik,TMC,TMC
WEST_BENGAL,West Bengal,21,Nagrakata (ST),ST,Puna Bhengra,Sukra Munda,BJP,TMC
WEST_BENGAL,West Bengal,22,Kalimpong,GEN,Ruden Sada Lepcha,Sarita Rai,GJM,GJM
WEST_BENGAL,West Bengal,23,Darjeeling,GEN,Neeraj Zimba,Amar Singh Rai,BJP,GJM
WEST_BENGAL,West Bengal,24,Kurseong,GEN,Bishnu Prasad Sharma,Rohit Sharma,BJP,GJM
WEST_BENGAL,West Bengal,25,Matigara-Naxalbari (SC),SC,Anandamoy Barman,Shankar Malakar,BJP,INC
WEST_BENGAL,West Bengal,26,Siliguri,GEN,Shankar Ghosh,Ashok Bhattacharya,BJP,CPI(M)
WEST_BENGAL,West Bengal,27,Phansidewa (ST),ST,Durga Murmu,Sunil Chandra Tirkey,BJP,INC
WEST_BENGAL,West Bengal,28,Chopra,GEN,Hamidul Rahman,Hamidul Rahaman,TMC,TMC
WEST_BENGAL,West Bengal,29,Islampur,GEN,Abdul Karim Chowdhury,Kanaia Lal Agarwal,TMC,INC
WEST_BENGAL,West Bengal,30,Goalpokhar,GEN,Mohammad Ghulam Rabbani,Md. Ghulam Rabbani,TMC,TMC
WEST_BENGAL,West Bengal,31,Chakulia,GEN,Minhajul Arfin Azad,Ali Imran Ramz (Victor),TMC,AIFB
WEST_BENGAL,West Bengal,32,Karandighi,GEN,Goutam Paul,Manodeb Sinha,TMC,TMC
WEST_BENGAL,West Bengal,33,Hemtabad (SC),SC,Satyajit Barman,Debendra Nath Roy,TMC,CPI(M)
WEST_BENGAL,West Bengal,34,Kaliaganj (SC),SC,Soumen Roy,Pramatha Nath Ray,BJP,INC
WEST_BENGAL,West Bengal,35,Raiganj,GEN,Krishna Kalyani,Mohit Sengupta,BJP,INC
WEST_BENGAL,West Bengal,36,Itahar,GEN,Mosarraf Hossain,Amal Acharjee,TMC,TMC
WEST_BENGAL,West Bengal,37,Kushmandi (SC),SC,Rekha Roy,Narmada Chandra Roy,TMC,RSP
WEST_BENGAL,West Bengal,38,Kumarganj,GEN,Toraf Hossain Mandal,Toraf Hossain Mandal,TMC,TMC
